Date,City,Disease,Case_Count,AQI,PM2.5,PM10,Temperature,Humidity,Rainfall,Season,Festival,Day_Type
2021-01-01,Delhi,Typhoid,34,221.96,118.64,214.4,20.74,41.08,3.65,Winter,None,Normal Day
2021-01-02,Chennai,Diarrhea,32,51.71,25.0,42.65,18.13,65.75,1.35,Winter,None,Normal Day
2021-01-03,Hyderabad,Influenza,27,143.79,101.15,123.21,20.9,33.74,4.42,Winter,None,Normal Day
2021-01-04,Delhi,Asthma,70,423.6,291.93,379.11,13.26,52.64,1.78,Winter,None,Normal Day
2021-01-05,Delhi,Diarrhea,36,414.08,317.08,349.27,23.73,65.41,4.07,Winter,None,Normal Day
2021-01-06,Delhi,Asthma,70,207.87,118.07,225.5,22.93,36.14,2.0,Winter,None,Normal Day
2021-01-07,Chennai,Malaria,48,71.73,46.46,62.56,18.15,76.4,2.43,Winter,None,Normal Day
2021-01-08,Chennai,Asthma,20,157.7,115.26,136.5,10.93,39.53,0.41,Winter,None,Normal Day
2021-01-09,Delhi,Asthma,58,277.12,141.66,316.33,14.5,52.11,3.83,Winter,None,Normal Day
2021-01-10,Mumbai,Diarrhea,38,132.31,54.8,114.43,24.68,79.91,0.21,Winter,None,Normal Day
2021-01-11,Kolkata,Asthma,49,136.62,87.54,112.31,22.77,62.37,4.3,Winter,None,Normal Day
2021-01-12,Mumbai,Diarrhea,47,97.54,43.06,105.48,16.51,33.63,1.88,Winter,None,Normal Day
2021-01-13,Kolkata,Malaria,23,80.17,41.03,65.49,16.12,88.29,2.18,Winter,Makar Sankranti,Holiday
2021-01-14,Hyderabad,Typhoid,44,167.96,96.34,198.36,13.4,88.53,1.48,Winter,Makar Sankranti,Holiday
2021-01-15,Hyderabad,Typhoid,21,146.75,88.43,155.67,19.89,39.93,3.43,Winter,Makar Sankranti,Holiday
2021-01-16,Delhi,Malaria,38,274.19,213.54,227.04,20.08,64.03,0.17,Winter,None,Normal Day
2021-01-17,Mumbai,Asthma,20,61.86,33.75,66.87,18.39,71.14,4.48,Winter,None,Normal Day
2021-01-18,Bengaluru,Diarrhea,36,54.18,29.0,52.2,23.12,87.68,2.67,Winter,None,Normal Day
2021-01-19,Delhi,Typhoid,27,166.24,68.07,193.87,16.89,39.29,1.91,Winter,None,Normal Day
2021-01-20,Delhi,Asthma,30,258.59,142.99,295.14,16.54,30.55,1.68,Winter,None,Normal Day
2021-01-21,Chennai,Influenza,45,134.79,73.26,136.54,13.24,68.94,0.43,Winter,None,Normal Day
2021-01-22,Hyderabad,Dengue,7,199.33,132.04,198.83,15.63,63.61,3.32,Winter,None,Normal Day
2021-01-23,Hyderabad,Typhoid,26,128.15,63.14,143.97,20.26,42.9,2.49,Winter,None,Normal Day
2021-01-24,Delhi,Malaria,30,181.25,116.36,178.61,15.57,46.38,4.44,Winter,None,Normal Day
2021-01-25,Chennai,Typhoid,16,73.04,38.88,87.52,20.54,86.9,2.8,Winter,Republic Day,Holiday
2021-01-26,Delhi,Asthma,106,467.79,218.18,406.29,22.32,87.76,3.47,Winter,Republic Day,Holiday
2021-01-27,Kolkata,Dengue,6,114.43,60.42,92.26,20.92,76.41,0.2,Winter,Republic Day,Holiday
2021-01-28,Kolkata,Asthma,23,125.48,62.23,146.15,21.83,43.73,1.92,Winter,None,Normal Day
2021-01-29,Hyderabad,Typhoid,37,154.93,96.27,163.98,14.6,39.97,3.58,Winter,None,Normal Day
2021-01-30,Delhi,Influenza,60,404.23,229.04,369.4,11.8,63.17,3.99,Winter,None,Normal Day
2021-01-31,Hyderabad,Typhoid,5,143.74,73.24,119.29,23.08,54.24,2.65,Winter,None,Normal Day
2021-02-01,Mumbai,Malaria,17,78.29,59.03,77.58,20.38,77.31,1.27,Winter,None,Normal Day
2021-02-02,Mumbai,Malaria,47,98.76,49.35,80.14,11.21,33.61,1.04,Winter,None,Normal Day
2021-02-03,Chennai,Dengue,39,194.39,125.62,185.62,15.08,60.74,2.32,Winter,None,Normal Day
2021-02-04,Chennai,Asthma,26,154.08,112.56,146.12,20.29,88.64,0.18,Winter,None,Normal Day
2021-02-05,Chennai,Typhoid,31,52.4,36.1,57.79,18.79,87.57,2.49,Winter,None,Normal Day
2021-02-06,Mumbai,Influenza,36,134.46,54.13,152.7,16.47,55.97,2.26,Winter,None,Normal Day
2021-02-07,Delhi,Diarrhea,31,314.12,203.74,254.77,18.71,80.78,2.76,Winter,None,Normal Day
2021-02-08,Chennai,Asthma,35,142.06,84.54,168.71,20.91,48.87,0.91,Winter,None,Normal Day
2021-02-09,Bengaluru,Dengue,27,83.63,55.35,99.39,10.57,86.52,3.76,Winter,None,Normal Day
2021-02-10,Chennai,Influenza,55,108.0,50.38,108.27,24.39,63.31,1.6,Winter,None,Normal Day
2021-02-11,Mumbai,Diarrhea,45,128.79,76.02,154.49,16.14,51.16,3.96,Winter,None,Normal Day
2021-02-12,Mumbai,Diarrhea,26,176.21,125.63,198.16,12.61,69.84,1.12,Winter,None,Normal Day
2021-02-13,Hyderabad,Dengue,30,157.27,69.73,134.1,10.16,68.46,3.9,Winter,None,Normal Day
2021-02-14,Mumbai,Malaria,45,115.58,74.34,129.45,17.24,37.84,4.52,Winter,None,Normal Day
2021-02-15,Bengaluru,Typhoid,13,149.87,65.24,173.78,13.99,56.06,2.55,Winter,None,Normal Day
2021-02-16,Chennai,Typhoid,33,71.1,47.77,74.79,10.31,37.72,0.61,Winter,None,Normal Day
2021-02-17,Hyderabad,Diarrhea,48,144.5,76.2,164.03,19.58,52.5,4.25,Winter,None,Normal Day
2021-02-18,Chennai,Asthma,15,151.75,101.38,172.69,13.27,74.46,3.93,Winter,None,Normal Day
2021-02-19,Hyderabad,Dengue,37,62.37,46.51,50.0,14.82,48.32,1.83,Winter,None,Normal Day
